filename,l1_loss,mse_loss,psnr,ssim
Test_000,0.12121396511793137,0.02783878706395626,15.553495407104492,0.2758273780345917
Test_001,0.1272779107093811,0.030177421867847443,15.203178405761719,0.3007560968399048
Test_002,0.10973864793777466,0.021492857486009598,16.67705726623535,0.5566163659095764
Test_003,0.12075243890285492,0.03072463907301426,15.125131607055664,0.2994171679019928
Test_004,0.10682649910449982,0.020806828513741493,16.81793975830078,0.44151726365089417
Test_005,0.0851670503616333,0.01337010320276022,18.738649368286133,0.557462751865387
Test_006,0.15707223117351532,0.05030947923660278,12.983501434326172,0.052118029445409775
Test_007,0.07892636209726334,0.012699559330940247,18.96211051940918,0.5370392799377441
Test_008,0.09341850131750107,0.015266265720129013,18.162668228149414,0.4758201539516449
Test_009,0.07743290811777115,0.012099271640181541,19.172405242919922,0.618070125579834
Test_010,0.07757174223661423,0.011237950064241886,19.49312400817871,0.6129352450370789
Test_011,0.08187995105981827,0.012952717021107674,18.876388549804688,0.5864258408546448
Test_012,0.14383746683597565,0.03897523880004883,14.092111587524414,0.18531730771064758
Test_013,0.1508893221616745,0.04149627313017845,13.819908142089844,0.06928543746471405
Test_014,0.07119926810264587,0.010079006664454937,19.965818405151367,0.6099464893341064
Test_015,0.1404571235179901,0.039088401943445206,14.079521179199219,0.16401270031929016
Test_016,0.16125355660915375,0.04910940304398537,13.08835220336914,0.08547595888376236
Test_017,0.1399919092655182,0.03817812725901604,14.181852340698242,0.1732223927974701
Test_018,0.1487969160079956,0.044632043689489365,13.503531455993652,0.12062128633260727
Test_019,0.10681601613759995,0.022314606234431267,16.51410675048828,0.4276503920555115
Test_020,0.08724472671747208,0.015925943851470947,17.978946685791016,0.584582507610321
Test_021,0.08559328317642212,0.013834822922945023,18.590261459350586,0.6125058531761169
Test_022,0.08761067688465118,0.013826287351548672,18.592941284179688,0.6019859313964844
Test_023,0.18158380687236786,0.0630670040845871,12.001977920532227,0.00610699225217104
Test_024,0.12852628529071808,0.03125698119401932,15.050529479980469,0.214493066072464
Test_025,0.10939794778823853,0.025781191885471344,15.886968612670898,0.3930076062679291
Test_026,0.12707771360874176,0.030267175287008286,15.190279006958008,0.32368409633636475
Test_027,0.09611265361309052,0.017096584662795067,17.67090606689453,0.5997626781463623
Test_028,0.17568065226078033,0.05839737504720688,12.336065292358398,0.06206244230270386
Test_029,0.11283702403306961,0.026320306584239006,15.797089576721191,0.3397422134876251
Test_030,0.08682410418987274,0.014651385135948658,18.341211318969727,0.6530318260192871
Test_031,0.08581224083900452,0.014827731065452099,18.28925132751465,0.6390923857688904
Test_032,0.14715847373008728,0.04096294194459915,13.876087188720703,0.19961073994636536
Test_033,0.1407548040151596,0.03523794934153557,14.529891967773438,0.20692545175552368
Test_034,0.10784056037664413,0.022049367427825928,16.566036224365234,0.37362992763519287
Test_035,0.14279203116893768,0.0389646477997303,14.093292236328125,0.13251103460788727
Test_036,0.09187044203281403,0.01635577529668808,17.863285064697266,0.5492081046104431
Test_037,0.13013671338558197,0.030815383419394493,15.112322807312012,0.31109076738357544
Test_038,0.10221601277589798,0.02155885472893715,16.663742065429688,0.32523617148399353
Test_039,0.08782940357923508,0.01565198227763176,18.054304122924805,0.599729061126709
Test_040,0.11364955455064774,0.026014113798737526,15.847909927368164,0.45435476303100586
Test_041,0.14789247512817383,0.04319830983877182,13.645332336425781,0.13146233558654785
Test_042,0.14344477653503418,0.03547003120183945,14.501384735107422,0.24018749594688416
Test_043,0.086467444896698,0.013546447269618511,18.68174171447754,0.6601964235305786
Test_044,0.09936391562223434,0.020179858431220055,16.95081901550293,0.45103779435157776
